STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_FSCS,GEOCODE,STARTDAT,ENDDATE,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,CNTYPOP,LOCALE_ADD
AK,AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,PR WALES-OUTER KE,Y,CI1,07/01/2017,06/30/2018,1086,1,0,0,0,1,0.6,1.6,120184,10893,0,4591,135668,-9,-9,-9,6970,1725,6520,15215,-9,126799,0,0,0,0,0,0,10615,21587,259,12992,3517,0,0,49,49,54,2312,17353,2516,1658,33133,9136,2519,30614,929,3448,34062,0,194,140,108,13,1955,1679,134,4,2893,2585,4677,2018,8,1,0,0,0,6422,43
AK,AK0018,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,NORTHWEST ARCTIC,Y,CI1,07/01/2017,06/30/2018,134,1,0,0,0,0.27,0,0.27,6141,5312,0,0,11453,-9,-9,-9,687,0,0,687,-9,13969,0,0,0,0,0,224,12823,0,425,0,372,0,0,49,49,3,500,271,282,35,1347,322,0,1347,66,66,1413,5,0,11,8,0,46,38,0,0,0,947,-1,2018,8,4,0,0,0,7671,43
AK,AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,SE FAIRBANK,Y,CI1,07/01/2017,06/30/2018,1167,1,0,0,0,1,1.8,2.8,264796,9751,1250,14000,289797,127243,54017,181260,8484,775,855,10114,58715,250089,0,0,0,0,0,0,11453,21587,708,12992,4079,0,1,49,50,13,2392,45998,1200,6578,69107,10245,4140,64967,4198,8338,73305,166,202,181,140,10,3949,2085,136,7,5993,25500,-1,2018,8,1,0,0,0,6918,43
AK,AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,DILLINGHAM,Y,CI1,07/01/2017,06/30/2018,2362,1,0,0,0,1,0.7,1.7,98388,15568,9067,8591,131614,-9,-9,-9,5774,1675,4931,12380,-9,196248,0,0,0,0,0,0,26703,21587,1083,12992,4715,0,0,49,49,34,1560,23543,1204,2307,29275,394,1269,28006,2020,3289,31295,0,142,270,94,125,2760,562,1736,10,8254,3741,-1,2018,8,1,0,0,0,5000,43
AK,AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,SE FAIRBANK,Y,CI1,07/01/2017,06/30/2018,79,1,0,0,0,0.45,0.43,0.88,2000,12599,8250,0,22849,-9,-9,-9,1862,908,3730,6500,-9,19830,0,0,0,0,0,0,9278,21587,741,12992,5037,0,0,49,49,48,700,2601,25,320,6138,14,134,6004,68,202,6206,0,61,32,27,3,194,166,16,7,1200,3600,-1,2018,8,2,0,0,0,6918,43
AK,AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,FAIRBANKS NORTH STAR,Y,CO1,07/01/2017,06/30/2018,96323,1,1,1,11.12,11.12,36.98,48.1,5335158,23982,7089,92481,5458710,2733167,1591490,4324657,357587,140414,107697,605698,554307,5484662,0,445,0,0,445,159733,301486,303057,26390,378867,42885,33509,16,49,65,613,6687,391676,87749,92000,724105,346671,83584,640521,127480,211064,851585,3694,2437,714,547,15,20177,18077,246,43,54353,0,92000,2018,8,2,0,0,0,98971,13
AK,AK0025,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,YUKON-KOYUKUK,Y,CI1,07/01/2017,06/30/2018,456,1,0,0,0,0.38,0,0.38,26989,7000,0,0,33989,-9,-9,-9,3007,0,626,3633,-9,32486,0,0,0,0,0,0,9480,0,0,0,707,0,0,49,49,45,750,3238,117,503,6624,2428,0,6624,390,390,7014,0,175,230,197,0,1641,1031,0,1,505,0,-1,2018,8,2,0,0,0,5327,43
AK,AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,VALDEZ-CORDOVA,N,CI1,07/01/2017,06/30/2018,452,1,0,0,0,0,0,0,0,7000,0,42743,49743,-9,-9,-9,6819,380,1732,8931,-9,38799,0,0,0,0,0,0,20674,21587,981,12992,2925,0,0,49,49,18,1508,7332,1629,787,14883,4230,1101,13782,387,1488,15270,0,77,81,48,0,461,340,0,6,1467,11760,11760,2018,8,2,0,0,0,9164,43
AK,AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,SKAGWAY-ANGOON,Y,CI1,07/01/2017,06/30/2018,549,1,0,0,0,1,0,1,89324,10065,3485,2869,105743,-9,-9,-9,10441,571,0,11012,-9,95113,1569,0,0,0,1569,1569,16679,21587,288,12992,2060,0,0,49,49,16,1300,11416,300,700,13097,3022,1254,11843,470,1724,13567,0,87,444,183,37,3948,1823,92,6,1535,7300,-1,2018,8,1,0,0,0,2151,43
AK,AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,HAINES,Y,CO1,07/01/2017,06/30/2018,2460,1,0,0,1,3.4,2.41,5.81,415537,16108,20044,35272,486961,241580,100484,342064,12861,2370,3118,18349,107699,468112,0,0,0,0,0,0,30355,21587,2233,12992,5588,0,0,49,49,97,2912,80388,5980,2797,73519,13184,2667,70852,2103,4770,75622,59,12,543,463,30,10702,6792,349,12,13920,46495,16742,2018,8,1,0,0,0,2474,43
AK,AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,DENALI,Y,CI1,07/01/2017,06/30/2018,1048,1,0,0,0,0.6,0,0.6,12000,7000,0,16952,35952,-9,-9,-9,5766,950,287,7003,-9,35008,0,0,0,0,0,0,27340,21587,697,12992,1235,0,1,49,50,14,885,5102,500,962,14806,457,1892,12914,896,2788,15702,2,53,62,41,2,1488,1274,10,7,830,512,-1,2018,8,1,0,0,0,2059,43
AK,AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,PR WALES-OUTER KE,N,CI1,07/01/2017,06/30/2018,123,1,0,0,0,0,0,0,1000,11649,0,1395,14044,-9,-9,-9,1711,0,1921,3632,-9,17314,0,0,0,0,0,0,16508,21587,142,12992,1586,0,1,48,49,12,1008,1612,243,297,1765,580,0,1765,105,105,1870,0,0,46,46,0,183,183,0,6,450,801,-1,2018,8,2,0,0,0,6422,43
AK,AK0032,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,KENAI PENINSULA,Y,CI1,01/01/2017,12/31/2017,5398,1,0,0,2,2,5.9,7.9,840872,8442,2116,54575,906005,408202,249769,657971,37303,13083,11191,61577,123263,842811,0,0,0,0,0,0,41800,18937,2061,11952,4332,0,14,49,63,148,2704,130746,13546,10440,167029,56433,17990,149039,15198,33188,182227,367,211,425,191,10,9383,5828,112,23,23495,25661,95100,2018,8,1,0,0,0,58533,43
AK,AK0033,AK0033-002,HOPE SUNRISE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,KENAI PENINSULA,N,CI1,07/01/2017,06/30/2018,215,1,0,0,0,0,0,0,1727,11000,0,5000,17727,-9,-9,-9,834,500,2207,3541,-9,13115,0,0,0,0,0,0,4610,0,240,0,1733,0,0,49,49,0,1204,1920,68,186,2255,350,0,2255,184,184,2439,0,0,27,10,3,159,46,7,1,203,970,-1,2018,8,1,0,14,0,58533,42
AK,AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,JUNEAU,Y,CO1,07/01/2017,06/30/2018,31982,1,2,0,4.75,4.75,17.94,22.69,2285018,27600,251741,0,2564359,1159647,826973,1986620,179633,40438,13838,233909,343830,2564359,0,0,0,0,0,0,123038,21587,6282,12992,6489,0,12,49,61,378,7500,208864,57088,25088,206922,81117,37387,169535,46365,83752,253287,917,568,619,325,41,15109,10082,837,71,60712,131642,102988,2018,8,1,0,0,0,32113,33
AK,AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,KENAI PENINSULA,Y,CI1,07/01/2017,06/30/2018,550,1,0,0,0,0.4,0,0.4,7740,8455,0,780,16975,-9,-9,-9,3244,0,250,3494,-9,23676,0,0,0,0,0,0,13411,0,207,0,432,0,0,49,49,33,768,3560,290,281,5946,1,1,5945,471,472,6417,0,14,9,9,0,170,170,0,7,740,1900,-1,2018,8,2,0,0,0,58533,43
AK,AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,KENAI PENINSULA,Y,CI1,07/01/2017,06/30/2018,6942,1,0,0,1,3,4.67,7.67,912585,8409,12743,0,933737,419501,244735,664236,58377,6243,7546,72166,154519,890921,0,0,0,0,0,0,80430,21597,1682,12996,4372,0,2,49,51,112,2960,98412,5400,9330,102671,27802,12669,90002,6487,19156,109158,156,64,399,269,32,9138,6843,498,40,13151,0,31933,2018,8,1,0,0,0,58533,33
AK,AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,KETCHIKAN GATEWAY,Y,CO1,01/01/2017,12/31/2017,13729,1,0,0,2,3.65,7.42,11.07,1133664,10500,1250,3950,1149364,524900,333550,858450,89425,10000,7270,106695,181219,1146364,0,0,0,0,0,0,79938,21587,5421,12992,7002,0,4,49,53,154,3016,87979,7944,8399,126621,58014,15267,111354,12480,27747,139101,289,226,552,315,69,11913,8985,1013,26,11408,5892,-1,2018,8,1,0,0,0,13918,33
AK,AK0040,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,KODIAK ISLAND,N,CI2,07/01/2017,06/30/2018,12691,1,0,0,1.01,1.07,6.46,7.53,1013178,0,0,0,1013178,285883,186325,472208,48203,6100,4529,58832,177806,708846,0,0,0,0,0,56733,68322,24272,2535,18053,2940,0,0,49,49,133,3432,182819,5271,10229,80202,35801,7292,72910,9004,16296,89206,4729,92,397,271,24,6750,6360,290,41,13927,0,-1,2018,8,4,0,0,0,13345,33
AK,AK0041,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,NORTHWEST ARCTIC,N,CI2,07/01/2017,06/30/2018,3982,1,0,0,0,0,1.47,1.47,90031,27538,0,1576,119145,-9,-9,-9,17862,0,0,17862,-9,193798,0,0,0,0,0,49202,19996,0,273,0,2521,0,0,49,49,84,1800,23236,977,580,4498,1327,0,4498,6,6,4504,1236,25,161,2,4,322,258,100,18,5753,3852,-1,2018,8,4,0,0,0,7671,33
AK,AK0044,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,YUKON-KOYUKUK,Y,CI1,07/01/2017,06/30/2018,273,1,0,0,0,0.25,0,0.25,0,21680,0,0,21680,-9,-9,-9,2047,342,1118,3507,-9,14966,0,0,0,0,0,0,11442,21587,27,12992,890,0,0,49,49,0,423,1269,5,340,742,168,165,577,233,398,975,0,40,101,35,32,792,250,250,6,1467,1200,-1,2018,8,2,0,0,0,5327,43
AK,AK0046,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,PR WALES-OUTER KE,Y,CI1,07/01/2017,06/30/2018,1387,1,0,0,0,1.38,0,1.38,60571,7000,0,0,67571,-9,-9,-9,4248,0,500,4748,-9,58604,0,0,0,0,0,0,13557,21587,195,12992,195,0,0,49,49,17,1000,1950,2,455,681,102,199,482,1185,1384,1866,0,63,5,4,0,50,50,0,9,1642,0,-1,2018,8,1,0,0,0,6422,43
AK,AK0047,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,BRISTOL BAY,Y,CI2,07/01/2017,06/30/2018,885,1,1,0,0,1,2,3,401950,14000,0,0,415950,162943,150741,313684,9001,0,3836,12837,29424,355945,0,0,0,0,0,0,15053,21587,359,12992,3905,0,0,49,49,17,3304,9921,309,456,10230,2017,42,10188,745,787,10975,0,40,27,10,3,370,90,77,9,3182,5070,-1,2018,8,1,0,0,0,877,43
AK,AK0048,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST SECOND STREET,NENANA,99760,YUKON-KOYUKUK,Y,CI1,07/01/2017,06/30/2018,360,1,0,0,0,1,1,2,45702,7000,7000,6976,66678,-9,-9,-9,5263,0,642,5905,-9,66678,0,0,0,0,0,0,9393,139,557,0,2712,0,0,49,49,28,1664,5200,312,650,12166,1422,0,12166,312,312,12478,1,255,81,41,0,476,316,0,7,2080,2080,0,2018,8,1,0,0,0,5327,43
AK,AK0051,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,KENAI PENINSULA,Y,CI1,07/01/2017,06/30/2018,847,1,0,0,0,0.38,0,0.38,13054,8298,1771,13355,36478,-9,-9,-9,3837,928,567,5332,-9,36378,0,0,0,0,0,0,14077,21587,754,12992,2702,0,0,49,49,0,1579,3640,42,715,5993,799,1425,4568,724,2149,6717,0,143,2,2,0,56,56,0,5,967,470,7800,2018,8,1,0,0,0,58533,43
AK,AK0052,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,NOME,Y,CI1,07/01/2017,06/30/2018,3632,1,0,0,0,1,2.5,3.5,286925,12415,8250,2936,310526,148835,83314,232149,13247,1075,1181,15503,107177,354829,0,0,0,0,0,0,23370,21587,366,12992,1302,0,0,49,49,38,2040,26500,1700,2696,15001,9550,162,14839,3105,3267,18106,20,42,122,114,2,2942,2509,105,6,6307,4500,-1,2018,8,1,0,0,0,10008,33
AK,AK0055,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,MATANUSKA-SUSITNA,Y,CO1,01/01/2017,12/31/2017,23527,1,0,0,1,1,5.25,6.25,688546,7000,0,0,695546,302957,187805,490762,43939,0,0,43939,166975,701676,0,0,0,0,0,43939,73485,21587,4081,12992,5508,0,0,49,49,37,2196,110500,23969,13522,136141,58755,14980,121161,20116,35096,156257,193,78,818,556,113,53226,42049,5196,27,15599,16757,1408037,2018,8,1,0,0,0,107610,32
AK,AK0056,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,SKAGWAY-ANGOON,Y,CI1,07/01/2017,06/30/2018,67,1,0,0,0.3,0.3,0.3,0.6,38218,11882,1250,0,51350,-9,-9,-9,1606,0,5969,7575,-9,37038,0,0,0,0,0,36218,9885,21587,300,12992,4217,0,0,49,49,0,988,4222,12,378,3613,305,410,3203,58,468,3671,0,0,32,29,3,113,98,15,3,2660,8012,-1,2018,8,2,0,0,0,2151,43
AK,AK0057,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,WRANGELL-PETERSBU,Y,CI1,07/01/2017,06/30/2018,3172,1,0,0,2,3,2.8,5.8,413786,8500,8250,26079,456615,194822,84834,279656,14273,1115,9806,25194,113176,418026,0,0,0,87438,87438,42000,25892,21587,1012,12992,10759,0,1,49,50,112,2600,58794,2978,5919,77282,856,3868,73414,2712,6580,79994,0,19,423,146,116,4819,2051,427,28,9422,13000,28212,2018,8,1,0,0,0,3221,43
AK,AK0058,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,KODIAK ISLAND,Y,CI1,07/01/2017,06/30/2018,141,1,0,0,0,0.38,0,0.38,3000,19180,1250,100,23530,-9,-9,-9,1579,0,2021,3600,-9,17563,0,0,0,0,0,0,10388,0,243,0,1533,24,0,49,49,17,326,2280,273,165,4412,117,2,4410,120,122,4532,0,297,137,110,18,389,366,23,5,1736,950,-1,2018,8,1,0,0,0,13345,43
AK,AK0061,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,ALEUTIANS WEST,Y,CI1,07/01/2017,06/30/2018,387,1,0,0,0,0.5,0.09,0.59,20546,7000,0,0,27546,-9,-9,-9,5748,0,0,5748,-9,38898,100,0,0,0,100,0,13457,0,52,0,863,0,0,49,49,0,255,520,852,300,162,152,0,162,331,331,493,0,0,0,0,0,0,0,0,4,200,300,-1,2018,8,2,0,0,0,5723,43
AK,AK0064,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,KENAI PENINSULA,Y,CI1,07/01/2017,06/30/2018,218,1,0,0,0,0,0.13,0.13,9496,7000,0,2342,18838,-9,-9,-9,2305,294,1713,4312,-9,7399,0,0,0,0,0,0,9489,0,629,0,2547,0,0,49,49,13,824,3968,163,362,4555,1546,0,4555,187,187,4742,0,7,32,25,1,345,178,6,9,639,857,1925,2018,8,1,0,0,0,58533,43
AK,AK0065,AK0065-002,SEWARD COMMUNITY LIBRARY AND MUSEUM,239 6TH AVENUE,SEWARD,99664,KENAI PENINSULA,Y,CI1,01/01/2017,12/31/2017,2563,1,0,0,1,1,4,5,573534,7000,1996,0,582530,202421,145180,347601,14960,1117,6249,22326,204725,574652,0,0,0,0,0,0,24617,21587,1480,12992,3331,0,0,49,49,81,2604,74783,1560,8320,37894,9605,5535,32359,2191,7726,40085,0,6,377,171,11,3957,2486,167,14,12402,17139,-1,2018,8,1,0,0,0,58533,43
AK,AK0067,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,SITKA,Y,CO1,07/01/2017,06/30/2018,8581,1,0,0,1,4,3.25,7.25,876310,8500,2464,17684,904958,357519,204347,561866,45351,4313,21068,70732,247518,880116,0,0,0,0,0,0,58004,21587,4052,12992,7286,0,2,49,51,140,3016,153146,6031,11733,135365,57062,7595,127770,7337,14932,142702,436,182,286,166,47,5905,3372,649,12,40421,20000,9125,2018,8,1,0,0,0,8647,33
AK,AK0068,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,SKAGWAY-ANGOON,Y,CI1,07/01/2017,06/30/2018,1079,1,0,0,0,1,0.8,1.8,227237,7000,0,0,234237,-9,-9,-9,7412,1218,746,9376,-9,234237,0,0,0,0,0,0,9481,21602,202,12992,1473,0,3,49,52,193,2660,31128,1230,1520,15515,3912,1463,14052,923,2386,16438,24,242,190,103,52,1648,1102,357,5,5106,0,-1,2018,8,1,0,0,0,1148,43
AK,AK0069,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,KENAI PENINSULA,Y,CI1,07/01/2017,06/30/2018,4291,1,0,0,2,3,3.74,6.74,640128,8500,1250,30337,680215,349957,111324,461281,59753,3487,8649,71889,151298,684468,0,0,0,0,0,0,43433,21587,3851,12992,4291,0,2,49,51,98,2704,112654,3336,11163,154213,70847,14804,139409,3669,18473,157882,18,23,490,312,77,10110,7753,899,13,16460,23000,-1,2018,8,1,0,0,0,58533,33
AK,AK0070,AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,11301 NORTH CHICKALOON WAY,SUTTON,99674,MATANUSKA-SUSITNA,Y,CO1,07/01/2017,06/30/2018,8701,1,0,0,0,1.75,0.42,2.17,302617,7000,0,0,309617,137503,84546,222049,16669,0,0,16669,63899,302617,0,0,0,0,0,0,16894,21587,1001,12992,2102,0,0,49,49,35,2132,20511,140,1312,20742,6949,6614,14128,7439,14053,28181,28,45,236,186,22,4416,3701,140,9,2975,1452,-1,2018,8,1,0,14,0,107610,42
AK,AK0072,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,MATANUSKA-SUSITNA,Y,CO1,07/01/2017,06/30/2018,12048,1,0,0,0.88,1.88,0.84,2.72,318646,7000,982,0,326628,122845,67977,190822,22861,0,0,22861,104963,318646,0,0,0,0,0,0,19581,21589,2456,13301,3303,0,0,49,49,50,2120,47663,2224,5679,94816,21844,9604,85212,10301,19905,105117,79,47,351,164,62,6777,4273,712,14,5301,8787,-1,2018,8,1,0,0,0,107610,43
